extension,format,encoding,category
3dm,open,binary,source
3dxml,proprietary,text,export
3ko,proprietary,binary,export
3mf,open,text,export
amf,open,text,export
asab,open,binary,export
asat,open,text,export
asm,proprietary,binary,source
catpart,proprietary,binary,source
catproduct,proprietary,binary,source
cgr,proprietary,binary,source
csg,open,text,export
dae,open,text,export
dgn,open,binary,source
dwg,proprietary,binary,source
dxf,open,both,source
fcstd,open,both,source
html,open,text,export
iam,unknown,binary,source
iges,open,text,export
igs,open,text,export
ipt,unknown,binary,source
iwb,unknown,text,export
iwp,unknown,unknown,export
jt,open,binary,export
j_t,open,binary,export
model,proprietary,unknown,source
obj,open,text,export
off,open,text,export
par,unknown,text,source
pdf,open,binary,export
ply,unknown,unknown,export
pod,unknown,unknown,export
prc,open,binary,export
prt,proprietary,binary,source
psm,unknown,unknown,source
sab,open,binary,export
sat,open,text,export
scad,open,binary,source
sldasm,proprietary,binary,source
sldprt,proprietary,binary,source
sms,unknown,binary,export
step,open,text,export
stl,open,both,export
stp,open,text,export
svg,open,text,export
u3d,unknown,binary,export
vda,open,binary,export
wrl,unknown,text,export
x_t,unknown,text,export
xcgm,unknown,unknown,export
